genre1,genre2,genre3,Country1,Country2,Country3,Releas_date,Main_Acter,Director1,Director2,Director3,type,title,release_year,rating,duration
Documentaries,,,United Kingdom,Hong Kong,,אוק-04,Tanya Streeter,Ravi Babu,,,Movie,A Plastic Ocean,2016,8.1,100 min
Comedies,International Movies,,Spain,,,נוב-01,Carmen Machi,Atanu Ghosh,,,Movie,A Remarkable Tale,2019,5.4,94 min
Stand-Up Comedy,,,Canada,,,נוב-01,Russell Peters,Remo D'Souza,,,Movie,A Russell Peters Christmas,2011,4.3,44 min
International Movies,Thrillers,,India,,,אוק-15,Johnny Baweja,Remo D'Souza,,,Movie,A Scandall,2016,4,108 min
Dramas,International Movies,Romantic Movies,Philippines,,,פבר-27,John Lloyd Cruz,Skye Borgman,,,Movie,A Second Chance,2015,5.4,130 min
Dramas,International Movies,,Iran,France,,מרץ-16,Leila Hatami,Hashim Nadeem Khan,,,Movie,A Separation,2011,8.4,123 min
Kids' TV,TV Action & Adventure,TV Comedies,United States,,, January 1,Neil Patrick Harris,A. L. Vijay,,,TV Show,A Series of Unfortunate Events,2019,7.9,3 Seasons
Comedies,Independent Movies,,United States,United Kingdom,France,ינו-16,Michael Stuhlbarg,Jung-ah Im,Seung-uk Jo,,Movie,A Serious Man,2009,7,106 min
Anime Features,International Movies,,Japan,,,יונ-05,Miyu Irino,Chad Van De Keere,,,Movie,A Silent Voice,2016,8.3,130 min
Dramas,Independent Movies,LGBTQ Movies,United States,,,נוב-11,Colin Firth,Chris Weitz,Paul Weitz,,Movie,A Single Man,2009,7.7,100 min
Dramas,International Movies,Thrillers,Argentina,Brazil,France,אפר-01,Bֳ¡rbara Lennie,Richard Curtis,,,Movie,A Sort of Family,2017,6.3,96 min
Dramas,Independent Movies,,United States,,,אוג-01,Laura Marano,Daniela Goggi,,,Movie,A Sort of Homecoming,2015,6.9,89 min
Dramas,,,United States,,,אוק-01,Ken Olin,Alfonso Serrano Maturino,,,Movie,A Stoning in Fulham County,1988,6,95 min
Movies,,,United States,,,דצמ-01,Edward Asner,Cheang Pou Soi,,,Movie,A StoryBots Christmas,2017,6.5,26 min
International TV Shows,TV Dramas,,none,,,ינו-27,Tammy Chen,Ralph Macchio,,,TV Show,A Taiwanese Tale of Two Cities,2018,7.6,1 Season
Dramas,International Movies,,Israel,United States,,אוק-25,Natalie Portman,Julien Christian Lutz,,,Movie,A Tale of Love and Darkness,2015,6.2,98 min
Documentaries,International Movies,,none,,,מאי-22,bam,Julie Taymor,,,Movie,A Tale of Two Kitchens,2019,6.6,30 min
International TV Shows,TV Dramas,,Taiwan,,,יונ-01,Cindy Lien,Mahsun Kִ±rmִ±zִ±gֳ¼l,,,TV Show,A Thousand Goodnights,2019,7.5,1 Season
Comedies,International Movies,,Nigeria,,,דצמ-13,Ayo Makun,Vipul Amrutlal Shah,,,Movie,A Trip to Jamaica,2016,5.6,99 min
Dramas,International Movies,,Uruguay,Argentina,Spain,דצמ-28,Antonio de la Torre,Isaac Florentine,,,Movie,A Twelve Year Night,2018,7.7,122 min
Comedies,Music & Musicals,,United States,,,דצמ-04,Bill Murray,Jay Karas,,,Movie,A Very Murray Christmas,2015,5.6,57 min
International TV Shows,TV Comedies,,France,,, July 30,Hugo Becker,Steve Brill,,,TV Show,A Very Secret Service,2018,8.1,2 Seasons
Action & Adventure,Dramas,International Movies,India,,,נוב-01,Anupam Kher,Robert Markowitz,,,Movie,A Wednesday,2008,8.3,103 min
Documentaries,,,United States,,,פבר-19,bam,Fazila Allana,,,Movie,A Week in Watts,2017,6.6,91 min
