Janner1,Janner2,Janner3,Country1,Country2,Country3,Main_Acter,Director1,Director2,Director3,type,release_year,rating,duration[Seasons/Min],,,,,
6,,,4,,,12,361,,,1,71,1,38,,,,,
6,,,4,,,12,1870,,,1,64,1,93,,,,,
6,,,4,,,12,1662,,,1,70,1,87,,,,,
6,10,,4,2,,12,2639,,,1,71,1,25,,,,,
4,3,,4,49,,221,869,,,1,64,1,89,,,,,
5,1,22,3,,,222,580,,,0,66,3,1,,,,,
2,,,21,,,223,2673,,,1,70,2,92,,,,,
9,27,30,21,,,224,481,,,0,69,1,1,,,,,
1,30,22,10,,,225,383,,,0,62,2,2,,,,,
5,1,22,32,,,226,2789,,,0,70,3,1,,,,,
15,1,,26,19,51,12,1945,,,0,69,2,1,,,,,
1,22,,41,18,,227,2900,3417,,0,71,3,1,,,,,
5,1,26,6,,,228,3194,,,0,67,2,1,,,,,
16,1,,37,,,229,2722,,,0,71,3,2,,,,,
8,,,37,,,229,3072,,,1,70,3,22,,,,,
20,,,24,,,230,247,,,1,70,2,60,,,,,
3,10,,6,,,231,2191,,,1,61,1,97,,,,,
2,10,35,6,,,232,1956,,,1,58,2,122,,,,,
6,,,4,,,233,1641,,,1,64,3,91,,,,,
1,27,30,37,,,234,1368,,,0,70,2,2,,,,,
9,15,1,21,,,235,2275,,,0,66,2,1,,,,,
2,28,10,6,,,236,1752,,,1,67,2,127,,,,,
10,29,35,6,,,205,348,,,1,56,3,153,,,,,
4,2,10,6,,,237,231,,,1,70,1,158,,,,,
7,10,29,6,,,238,231,,,1,64,1,151,,,,,
23,22,,4,,,239,1587,,,0,72,3,1,,,,,
1,22,,10,,,12,839,,,0,67,1,1,,,,,
16,1,,37,,,240,2382,2832,,0,68,2,2,,,,,
2,10,,6,,,241,1721,,,1,69,2,105,,,,,
1,22,,10,,,242,1721,,,0,67,1,1,,,,,
5,1,22,42,,,243,3163,,,0,69,3,1,,,,,
20,,,2,,,244,2349,,,1,69,1,54,,,,,
7,10,,10,,,12,1223,3367,,1,69,1,94,,,,,
2,28,10,6,,,245,1968,,,1,71,2,85,,,,,
13,,,4,40,,246,366,,,1,68,1,106,,,,,
20,,,43,,,247,544,,,1,70,1,60,,,,,
6,10,29,14,,,248,55,,,1,70,1,102,,,,,
7,2,28,4,,,217,2471,,,1,70,2,100,,,,,
12,23,,4,,,249,2860,,,0,70,3,2,,,,,
6,10,17,10,,,250,3023,,,1,71,1,69,,,,,
4,7,10,5,,,251,1772,,,1,67,2,115,,,,,
20,,,4,,,252,683,,,1,68,3,60,,,,,
20,,,4,,,252,2370,,,1,70,3,64,,,,,
5,1,22,12,,,253,2289,,,0,69,3,1,,,,,
6,10,,10,,,12,2334,,,1,69,1,54,,,,,
4,10,11,44,6,,254,1120,,,1,32,2,147,,,,,
24,7,2,4,,,255,1727,3410,,1,26,3,112,,,,,
6,,,4,,,256,2139,,,1,69,1,63,,,,,
4,11,,4,,,257,1307,,,1,71,1,88,,,,,
13,7,11,4,,,258,2843,,,1,70,3,90,,,,,
7,28,10,30,,,259,2327,,,1,70,2,110,,,,,
6,,,45,4,,12,260,,,1,68,2,89,,,,,
1,22,25,32,,,260,1536,,,0,69,1,1,,,,,
7,2,28,4,,,261,2800,,,1,70,1,101,,,,,
23,,,4,,,262,285,,,0,70,1,1,,,,,
22,,,4,,,263,1895,,,0,71,3,1,,,,,
10,18,,10,,,264,90,,,1,71,1,83,,,,,
12,23,,4,,,265,2454,,,0,69,3,5,,,,,
12,26,23,4,,,265,1632,,,0,69,3,1,,,,,
13,28,,4,,,30,2377,,,1,68,1,92,,,,,
6,,,4,,,12,1866,,,1,71,2,40,,,,,
3,18,,4,,,266,775,3314,,1,70,1,84,,,,,
7,2,10,34,,,267,1234,3415,,1,69,1,104,,,,,
3,,,4,,,268,1073,,,1,58,1,91,,,,,
4,,,21,,,269,1018,,,1,70,1,100,,,,,
7,10,35,2,,,270,624,3351,,1,72,1,90,,,,,
7,2,10,1,,,271,1684,,,1,69,2,90,,,,,
2,10,,26,,,272,1325,,,1,71,2,90,,,,,
7,10,35,23,,,199,628,,,1,61,1,99,,,,,
2,,,21,19,26,273,2436,1275,,1,68,2,103,,,,,
18,,,4,26,12,274,1909,,,1,53,2,103,,,,,
13,,,4,,,275,1660,,,1,65,1,45,,,,,
13,,,4,6,,276,904,,,1,66,1,45,,,,,
6,,,4,,,12,2180,,,1,69,3,90,,,,,
5,26,22,4,,,277,331,,,0,70,3,1,,,,,
6,,,10,,,278,3070,,,1,70,1,106,,,,,
1,34,22,43,,,279,1255,,,0,71,2,1,,,,,
7,35,,4,,,252,501,,,1,71,2,102,,,,,
6,,,27,4,,12,1298,,,1,68,2,92,,,,,
2,10,35,14,,,280,2719,,,1,69,1,104,,,,,
7,2,10,21,,,281,317,,,1,67,1,92,,,,,
4,24,7,6,,,178,872,,,1,29,3,172,,,,,
2,10,,15,,,282,1435,,,1,63,2,125,,,,,
2,28,17,4,,,283,1262,,,1,70,1,96,,,,,
9,1,27,21,,,12,2688,,,0,70,2,1,,,,,
6,,,21,,,284,2480,,,1,69,2,44,,,,,
6,,,4,,,285,2710,,,1,68,1,81,,,,,
2,,,4,,,286,169,,,1,51,3,122,,,,,
6,,,4,,,12,1456,,,1,69,3,101,,,,,
5,22,,4,,,287,2514,,,0,69,3,3,,,,,
5,22,,4,,,288,2933,,,0,68,3,1,,,,,
6,,,4,,,289,2092,,,1,69,3,53,,,,,
15,,,4,,,12,1296,,,0,70,3,1,,,,,
6,,,4,,,290,1972,,,1,70,2,53,,,,,
6,,,4,,,12,2014,,,1,71,3,110,,,,,
6,,,10,,,291,767,3376,,1,71,1,10,,,,,
18,,,12,,,292,944,3287,,1,71,1,99,,,,,
4,2,,12,77,,293,467,3406,,1,66,1,95,,,,,
2,,,4,,,294,3211,,,1,50,3,119,,,,,
2,28,,21,4,,295,2093,,,1,68,2,163,,,,,
25,,,4,,,296,1309,,,0,70,3,8,,,,,
6,17,,4,,,297,1309,,,1,70,3,55,,,,,
22,,,4,,,298,1309,,,0,67,3,1,,,,,
7,31,2,4,12,,299,2609,,,1,52,3,102,,,,,
2,,,4,,,300,1004,,,1,71,1,90,,,,,
5,23,,4,,,301,1378,,,0,70,3,2,,,,,
2,,,4,,,302,303,3397,,1,71,2,106,,,,,
15,,,4,,,303,1766,,,0,66,2,1,,,,,
1,22,,34,,,304,1473,,,0,69,2,1,,,,,
7,10,,5,,,305,155,3346,,1,69,3,127,,,,,
2,10,29,6,,,306,2415,,,1,18,2,116,,,,,
6,10,29,21,,,307,1017,,,1,67,3,128,,,,,
20,,,4,,,308,903,,,1,71,1,61,,,,,
20,,,4,,,308,299,,,1,69,1,57,,,,,
6,10,,6,,,12,373,,,1,65,2,80,,,,,
13,,,4,,,309,3183,3337,,1,38,2,80,,,,,
13,,,4,,,310,2856,,,1,43,2,75,,,,,
13,,,4,,,311,129,,,1,51,2,75,,,,,
13,,,4,,,311,2775,,,1,52,1,79,,,,,
2,10,,15,,,312,2097,,,1,64,2,87,,,,,
1,30,22,32,,,313,2650,,,0,64,2,1,,,,,
2,,,4,,,314,2644,,,1,70,1,97,,,,,
7,2,10,10,,,188,2644,,,1,66,1,85,,,,,
7,10,,1,,,315,2644,,,1,70,2,116,,,,,
2,28,10,6,,,316,2644,,,1,69,2,111,,,,,
7,2,,14,,,317,2644,,,1,69,2,113,,,,,
15,,,4,,,318,2644,,,0,62,3,1,,,,,
2,28,10,17,45,52,319,2644,,,1,70,2,102,,,,,
7,31,10,6,,,68,1034,,,1,46,3,160,,,,,
7,2,10,6,,,320,,,,1,70,3,137,,,,,
2,28,,4,,,321,152,,,1,67,2,90,,,,,
4,7,2,6,,,322,3130,,,1,69,3,128,,,,,
16,1,,37,,,323,2803,,,0,62,3,1,,,,,
1,26,23,32,,,324,1513,,,0,66,1,1,,,,,
13,,,46,12,,325,1798,,,1,70,2,30,,,,,
7,,,4,,,210,2434,3418,,1,55,2,105,,,,,
12,23,,47,,,326,3217,,,0,70,2,3,,,,,
2,28,10,6,26,,327,92,,,1,67,2,104,,,,,
2,28,29,21,,,328,1073,,,1,71,3,15,,,,,
4,10,11,31,,,329,734,,,1,70,2,130,,,,,
3,10,,14,52,,330,2053,,,1,70,1,88,,,,,
4,2,10,6,,,331,2022,,,1,66,1,146,,,,,
1,25,,6,,,12,2022,,,0,70,1,1,,,,,
1,25,,6,,,332,598,,,0,70,3,1,,,,,
20,,,4,,,333,2166,,,1,67,1,64,,,,,
2,10,18,6,,,334,1336,,,1,65,2,127,,,,,
13,,,4,,,335,743,,,1,68,1,92,,,,,
1,22,,12,,,336,2664,,,0,70,3,2,,,,,
16,1,,37,,,153,1664,,,0,63,3,1,,,,,
2,11,18,26,4,12,337,2930,3544,,1,70,1,100,,,,,
2,28,10,1,33,4,338,2924,,,1,68,1,72,,,,,
26,22,,4,,,53,2832,,,0,71,1,1,,,,,
1,,30,22,,,339,2385,,,0,68,3,1,,,,,
5,1,23,10,,,340,2385,,,0,71,1,1,,,,,
7,10,,15,,,341,1112,,,1,69,1,110,,,,,
13,,,10,,,342,524,,,1,70,1,65,,,,,
