@relation netflix_Alg

@attribute Janner1 numeric
@attribute Janner2 numeric
@attribute Janner3 numeric
@attribute Country1 numeric
@attribute Country2 numeric
@attribute Main_Acter numeric
@attribute Director1 numeric
@attribute Director2 numeric
@attribute release_year numeric
@attribute rating numeric
@attribute duration[Seasons/Min] numeric

@data
1,30,22,8,?,472,2806,?,71,3,1
7,10,35,8,?,473,2225,?,61,2,126
6,10,17,14,?,474,2225,?,67,3,122
2,10,?,6,?,65,1844,?,61,2,95
7,10,35,50,?,475,653,?,68,2,88
6,10,?,30,79,12,1472,?,69,1,101
13,?,?,4,?,476,790,?,65,2,74
13,?,?,4,?,477,266,?,69,1,64
12,?,?,4,?,478,1555,?,70,3,3
12,?,?,10,?,478,3151,?,71,1,1
13,?,?,4,?,476,1807,?,62,2,74
13,?,?,4,?,476,2076,2076,67,1,74
13,?,?,4,?,476,2984,?,67,2,83
12,23,?,4,?,479,72,?,64,3,1
13,?,?,4,?,477,3204,?,68,2,79
13,?,?,4,?,480,169,?,62,1,72
13,?,?,4,12,480,1765,?,63,2,80
13,?,?,4,12,477,1366,?,68,1,75
13,?,?,4,?,476,807,?,64,1,75
13,?,?,4,?,477,387,?,69,1,72
29,?,?,4,?,481,2170,?,69,3,109
2,10,35,34,?,482,457,638,68,2,132
1,26,22,6,?,417,457,638,71,2,1
7,2,10,6,?,376,1364,?,69,3,110
